Devin Harris,190,87
Jodie Meeks,193,95
Josh McRoberts,208,108
Enes Kanter,211,111
Derrick Williams,203,108
DeMarcus Cousins,211,122
Tayshaun Prince,206,96
Chris Andersen,208,111
T.J. Warren,203,104
Ryan Kelly,211,104
Nicolas Batum,203,90
Tarik Black,206,113
Andrew Bogut,213,117
Kemba Walker,185,78
Ben McLemore,196,88
Kristaps Porzingis,221,108
Jordan Clarkson,196,87
Mitch McGary,208,115
Phil Pressey,180,79
Goran Dragic,190,86
Gary Neal,193,95
Lamar Patterson,196,102
Kosta Koufos,213,120
Brandon Jennings,185,77
Trey Burke,185,86
Steve Novak,208,102
Donald Sloan,190,92
Shaun Livingston,201,87
Greg Smith,208,113
Clint Capela,208,108
Greivis Vasquez,198,98
Joe Johnson,201,108
Nene Hilario,211,113
Joakim Noah,211,104
Christian Wood,211,99
Taj Gibson,206,102
Brook Lopez,213,124
Danny Green,198,97
Karl-Anthony Towns,213,110
Draymond Green,201,104
Metta World Peace,198,117
Cleanthony Early,203,95
Boris Diaw,203,113
Pau Gasol,213,113
Duje Dukan,206,99
Raymond Felton,185,92
Cole Aldrich,211,113
Aaron Brooks,183,73
Jarell Martin,208,108
Serge Ibaka,208,106
Trevor Booker,203,103
Tyler Johnson,193,84
Marcin Gortat,211,108
Matthew Dellavedova,193,89
Jason Thompson,211,113
Giannis Antetokounmpo,211,100
Kris Humphries,206,106
Marc Gasol,216,115
Joe Ingles,203,102
Kevin Garnett,211,108
Andre Roberson,201,95
Chris Johnson,198,93
Sam Dekker,206,104
Mike Conley,185,79
Michael Carter-Williams,198,86
Kyle O'Quinn,208,113
Klay Thompson,201,97
Evan Fournier,201,92
Brian Roberts,185,78
Charlie Villanueva,211,105
Jarnell Stokes,206,119
Ray McCallum,190,86
Darrell Arthur,206,106
E'Twaun Moore,193,86
Deron Williams,190,90
Alan Williams,203,117
Justin Harper,208,102
Noah Vonleh,208,108
Marvin Williams,206,107
Allen Crabbe,198,95
Jonas Jerebko,208,104
Darren Collison,183,79
Adreian Payne,208,107
Cory Joseph,190,87
Michael Kidd-Gilchrist,201,105
Alec Burks,198,97
Russ Smith,183,74
Myles Turner,211,110
Trevor Ariza,203,97
James Harden,196,99
Derrick Favors,208,120
Marcus Morris,206,106
Nikola Vucevic,213,117
