text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,original_text
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:12:34Z,FALSE,,889956564148170754,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",maliajustus,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:11:15Z,FALSE,,889956234253574144,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KenleyC2319,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
gavinnewsom senategop cover spines none ,FALSE,0,GavinNewsom,2017-07-25T21:10:18Z,FALSE,889943916874579968,889955993467068416,11347122,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",steve_verrell,0,FALSE,FALSE,,,"@GavinNewsom @SenateGOP Why would it have to cover their spines, none of them have any"
progressive loon gavinnewsom solidly backs hairbrained ca singlepayer disaster cost state  ,FALSE,0,,2017-07-25T21:09:44Z,TRUE,,889955852580397056,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Edurd,0,FALSE,FALSE,,,Progressive loon @GavinNewsom solidly backs the hair-brained CA #SinglePayer disaster that would cost our state $40… https://t.co/SWy99sw24p
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:09:29Z,FALSE,,889955791691821056,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_silversmith,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:08:47Z,FALSE,,889955615006576641,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KeriLeCo,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:08:42Z,FALSE,,889955592860606464,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",xleonxxxx,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:06:24Z,FALSE,,889955014558404609,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nebraskanobody,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
gavinnewsom senategop employer goldman sachs,FALSE,0,GavinNewsom,2017-07-25T21:06:23Z,FALSE,889943916874579968,889955009689006086,11347122,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mygirlgarnet,0,FALSE,FALSE,,,@GavinNewsom @SenateGOP Any employer of Goldman Sachs
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:06:06Z,FALSE,,889954936984936448,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",terjica,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
gavinnewsom senategop need coverage something spines,FALSE,0,GavinNewsom,2017-07-25T21:05:28Z,FALSE,889943916874579968,889954778196955136,11347122,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",gmearley,0,FALSE,FALSE,,,@GavinNewsom @SenateGOP Do not need coverage for something that is not there....they have no spines
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T21:05:16Z,FALSE,,889954729924501504,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",salklein,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
gavinnewsom senategop elective procedures covered insurance,FALSE,0,GavinNewsom,2017-07-25T21:05:00Z,FALSE,889943916874579968,889954659925868544,11347122,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",wickerpplking,0,FALSE,FALSE,,,@GavinNewsom @SenateGOP elective procedures shouldn't be covered by insurance
